dateNo	date	ZT	key	startZT	cell	protocol	Imin	Imax	FRbeg	FRennd	Amp	PSD
0	08/12/2010	2.1	22	16	WT	Const	-15		0			-55.12
0	08/12/2010	2.1	23	16.44	WT	Depol Step	-15	5	8.65	8.652	-20.31	-33.05
0	08/12/2010	2.1	24	16.48	WT	Depol Step	-15	10	11.4	10.31	-16.45	-28.6
0	08/12/2010	2.1	25	16.57	WT	Depol Step	-15	15	14.49	11.46	-12.04	-24.31
0	08/12/2010	2.1	26	16.66	WT	Depol Step	-15	20	16.44	7.886	-7.53	-19.18
1	10/12/2010	8.6	10	17.81	WT	Depol Step	-5	0	1.834	1.383	-30.4	-42.38
1	10/12/2010	8.6	11	18	WT	Const	-5		0.2413		-34.9	-48.83
1	10/12/2010	8.6	12	17.86	WT	Depol Step	-5	5	5.595	4.967	-23.49	-32.95
1	10/12/2010	8.6	13	17.89	WT	Depol Step	-5	5	5.072	4.693	-24.94	-34.2
1	10/12/2010	8.6	14	17.95	WT	Depol Step	-5	10	7.187	7.983	-18.38	-26.5
1	10/12/2010	8.6	15	18.01	WT	Depol Step	-5	15	10.33	10.36	-11.84	-19.12
2	19/01/2011	6	0	14.41	WT	Depol Step	-45	-25	1.352	2.201	-24.88	-41.45
2	19/01/2011	6	1	14.44	WT	Depol Step	-40	-20	5.921	11.32	-22.67	-38.57
2	19/01/2011	6	2	14.47	WT	Depol Step	-35	-15	15.61	17.05	-20.18	-35.49
2	19/01/2011	4.4	3	15	WT	Const	-32		0			-48.59
2	19/01/2011	4.4	4	14.58	WT	Depol Step	-32	-27	1.115	1.964	-27.39	-43.91
2	19/01/2011	4.4	5	14.60	WT	Depol Step	-32	-22	14.17	10.59	-23.64	-39.88
2	19/01/2011	4.4	6	14.63	WT	Depol Step	-35	-25	6	7.577	-26.31	-42.41
2	19/01/2011	4.4	7	14.66	WT	Depol Step	-35	-20	16.35	13.95	-22.75	-38.47
2	19/01/2011	4.4	8	14.71	WT	Depol Step	-35	-15	20.62	15.96	-21.34	-36.94
4	20/01/2011	5.3	0	15	WT	Const	-10		0			-54.03
4	20/01/2011	5.3	1	15.38	WT	Depol Step	-10	-5	1.273	0	-2.894	-43.14
4	20/01/2011	5.3	2	15.39	WT	Depol Step	-10	0	4.734	7.462	0.8224	-37.16
4	20/01/2011	5.3	3	15.43	WT	Depol Step	-10	5	9.798	11.34	3.147	-33.66
4	20/01/2011	5.3	4	15.45	WT	Depol Step	-10	10	15.23	16.49	5.248	-29.99
4	20/01/2011	5.3	17	17.03	WT	Depol Step	-100	-80	8.288	3.192	-56.92	-63.04
5	21/01/2011	10	0	12.39	WT	Depol Step	-10	10	17.12	19.4	-10.07	-23.22
5	21/01/2011	2.4	1	12	WT	Const	-8		0			-57.34
5	21/01/2011	2.4	2	12.46	WT	Depol Step	-8	-3	0	0.7786	-24.92	-43.98
5	21/01/2011	2.4	3	12.49	WT	Depol Step	-8	2	6.55	7.62	-19.12	-35.14
5	21/01/2011	2.4	4	12.52	WT	Depol Step	-8	7	14.23	15.38	-13.08	-27.44
5	21/01/2011	2.4	5	12.56	WT	Depol Step	-8	12	21.59	20.03	-8.068	-21.59
5	21/01/2011	2.4	16	13.50	WT	Depol Step	-5	5	7.952	8.375	-17.37	-34.19
5	21/01/2011	2.4	18	13.58	WT	Depol Step	-5	5	7.952	8.375	-17.37	-24.49
5	21/01/2011	2.4	20	13.69	WT	Depol Step	-5	5	0	0	-17.37	-23.83
6	21/01/2011	10	25	20.46	WT	Depol Step	-1	19	17.47	16.35	11.1	-34.76
6	21/01/2011	10	26	20	WT	Const	-1		0.08393		4.788	-53.89
6	21/01/2011	10	27	20.50	WT	Depol Step	-3	2	4.853	4.005	6.902	-44.83
6	21/01/2011	10	28	20.51	WT	Depol Step	-3	7	6.716	7.728	9.279	-40.89
6	21/01/2011	10	29	20.55	WT	Depol Step	-3	12	19.78	15.88	10.99	-34.41
6	21/01/2011	10	30	20.58	WT	Depol Step	-3	12	13.71	13.52	9.661	-37.26
6	21/01/2011	10	31	20.60	WT	Depol Step	-3	17	20.34	20.95	10.1	-33.7
7	31/01/2011	7.4	0	17	WT	Const	-10		0			-56.04
7	31/01/2011	7.4	1	17.45	WT	Depol Step	-10	-5	0	0	-100	-44.76
7	31/01/2011	7.4	2	17.46	WT	Depol Step	-10	0	3.206	2.78	-1.714	-45.26
7	31/01/2011	7.4	3	17.49	WT	Depol Step	-10	5	5.559	5.189	-0.7891	-43.11
7	31/01/2011	7.4	4	17.53	WT	Depol Step	-10	10	9.876	7.326	0.4488	-39.82
7	31/01/2011	7.4	5	17.56	WT	Depol Step	-6	4	5.243	4.419	-2.179	-43.6
7	31/01/2011	7.4	6	17.58	WT	Depol Step	-6	-1	2.937	1.919	-4.924	-46.52
7	31/01/2011	7.4	7	17.60	WT	Depol Step	-6	9	7.253	6.644	-1.234	-41.28
7	31/01/2011	7.4	8	17.62	WT	Depol Step	-6	14	10.91	10.39	0.6337	-37.88
7	31/01/2011	7.4	15	18.27	WT	Depol Step	-2	8	4.642	4.899	-7.427	-44.27
7	31/01/2011	7.4	17	18.36	WT	Depol Step	-2	8	1.207	0.9539	-8.451	-37.6
7	31/01/2011	7.4	18	18.39	WT	Depol Step	-2	8	1.413	0.9841	-8.587	-35.82
7	31/01/2011	7.4	20	18.58	WT	Depol Step	-2	8	4.033	2.609	-18.13	-25.6
8	09/02/2011	4.6	1	14.64	WT	Depol Step	-6	4	11.14	14.83	-6.196	-33.68
8	09/02/2011	4.6	2	15	WT	Const	-6		0			-55.11
8	09/02/2011	4.6	3	14.67	WT	Depol Step	-6	-1	2.252	3.915	-8.087	-41.5
8	09/02/2011	4.6	4	14.69	WT	Depol Step	-6	9	22.9	22.85	-3.401	-28.13
8	09/02/2011	4.6	5	14.72	WT	Depol Step	-6	14	30.92	24.83	-0.7201	-24.12
8	09/02/2011	4.6	11	15.02	WT	Depol Step	-6	4	16.2	13.86	-4.91	-34.25
8	09/02/2011	4.6	15	17.83	WT	Depol Step	-250	-50	20.21	14.32	-8.641	-25.51
8	09/02/2011	4.6	16	17.85	WT	Depol Step	-250	-150	20.21	14.32	-8.641	-45.98
8	09/02/2011	4.6	17	17.86	WT	Depol Step	-170	-70	12.11	15.42	-7.074	-29.52
8	09/02/2011	4.6	18	17.88	WT	Depol Step	-170	-120	1.12	3.822	-12.69	-32.08
8	09/02/2011	4.6	19	17.97	WT	Depol Step	-120	30	35.35	31.11	10.61	-2.774
8	09/02/2011	4.6	20	18.01	WT	Depol Step	-130	70	39.25	37.29	22.04	11.32
9	02/03/2011	5.1	0	15.12	WT	Depol Step	-16	4	10.05	10.3	6.968	-37.52
9	02/03/2011	5.1	1	15.16	WT	Depol Step	-16	-1	6.897	6.325	3.83	-40.59
9	02/03/2011	5.1	2	15.18	WT	Depol Step	-16	-6	3.265	1.894	1.317	-44.97
9	02/03/2011	5.1	3	15.19	WT	Depol Step	-16	-11	3.265	1.894	1.317	-49.08
10	23/03/2011	7.2	1	17.28	WT	Depol Step	-10	-5	0	0	1.317	-43.94
10	23/03/2011	7.2	2	17.29	WT	Depol Step	-10	0	2.241	1.423	-26.79	-39.92
10	23/03/2011	7.2	3	17.31	WT	Depol Step	-10	5	3.556	2.969	-21.47	-33.32
10	23/03/2011	7.2	4	17.32	WT	Depol Step	-10	10	4.736	4.283	-13.32	-24.32
11	01/04/2011	2.6	0	13	WT	Const	0		16.22		-15.98	-32.09
11	01/04/2011	2.6	1	12.75	WT	Depol Step	-10	-5	5.908	7.685	-25.73	-43.95
11	01/04/2011	2.6	2	12.78	WT	Depol Step	-10	0	15.14	16.06	-21.14	-35.64
11	01/04/2011	2.6	3	12.83	WT	Depol Step	-10	5	20.46	19.68	-18	-30.92
11	01/04/2011	2.6	4	12.86	WT	Depol Step	-10	10	26.9	23.95	-13.81	-25.17
12	06/04/2011	4.3	0	14	WT	Const	0		7.046		1.961	-37.65
12	06/04/2011	4.3	1	14.37	WT	Depol Step	-10	-5	2.776	2.775	-3.013	-44.93
12	06/04/2011	4.3	2	14.39	WT	Depol Step	-10	0	7.723	8.142	-1.763	-39.23
12	06/04/2011	4.3	3	14.41	WT	Depol Step	-10	5	11.45	11.97	2.081	-35.84
12	06/04/2011	4.3	4	14.42	WT	Depol Step	-10	10	16.73	17.56	2.188	-32.18
12	06/04/2011	4.3	9	15.01	WT	Depol Step	-10	10	16.73	17.56	2.188	-26.51
13	08/04/2011	5.6	0	16	WT	Const	0		3.98		-4.048	-40.07
13	08/04/2011	5.6	1	16.02	WT	Depol Step	-12	-7	0	0	-4.048	-45.37
13	08/04/2011	5.6	2	16.03	WT	Depol Step	-12	-2	4.322	3.586	-9.473	-43.27
13	08/04/2011	5.6	3	16.06	WT	Depol Step	-12	3	8.627	7.799	-7.734	-39.07
13	08/04/2011	5.6	4	16.09	WT	Depol Step	-12	8	13.52	11.78	-6.023	-35.39
14	12/04/2011	15	0	21	WT	Const	0		1.58		-0.9955	-42.93
14	12/04/2011	15	1	20.62	WT	Depol Step	-9	-4	13.52	11.78	-0.9955	-45.14
14	12/04/2011	15	2	20.66	WT	Depol Step	-9	1	1.983	1.878	-6.424	-45.47
14	12/04/2011	15	3	20.67	WT	Depol Step	-9	6	5.056	5.116	-3.337	-40.56
14	12/04/2011	15	4	20.69	WT	Depol Step	-9	11	8.935	9.019	-1.619	-36.73
15	22/04/2011	2.7	0	13	WT	Const	0		24.94		-15.3	-27.17
15	22/04/2011	2.7	1	12.76	WT	Depol Step	-22	-17	3.768	1.047	-25.81	-50.78
